gbifID,eventDate,verbatimLocality,decimalLatitude,decimalLongitude,plant_id
4111669553,2023-04-29,"Mount Jefferson Park & Greenway, Alexandria, VA, US",38.8277498586,-77.052367637,1
4111619525,2023-04-28,"Arkendale Rd, Alexandria, VA, US",38.78363,-77.0707166667,1
4111615510,2023-04-28,"Arkendale Rd, Alexandria, VA, US",38.7836,-77.0706945,1
4111575726,2023-04-28,"Arkendale Rd, Alexandria, VA, US",38.7835416667,-77.0710055,1
4103289808,2023-04-30,"Underhill Pl, Alexandria, VA, US",38.8306850607,-77.0706090662,1
4102879854,2023-04-30,"River Farm Dr, Alexandria, VA, US",38.7108495929,-77.0578976591,2
4039282560,2023-02-18,"Potomac Yard, Alexandria, VA, USA",38.83531613,-77.04545851,2
4029298634,2023-02-05,"Huntley Meadows Park, Alexandria, VA, US",38.7565166667,-77.0987861667,2
4022193696,2022-11-12,"Hatton Ct, Alexandria, VA, US",38.8312302069,-77.1351819216,3
4022040716,2022-11-12,"Crater Pl, Alexandria, VA, US",38.8320381887,-77.1355064392,3
4011639673,2022-12-26,"Clifton Farm Ct, Alexandria, VA, US",38.7328715071,-77.0784341526,2
4011496559,2022-09-28,"Taylor Run, Alexandria, VA, USA",38.8103211204,-77.0749061555,3
3988671691,2022-11-26,"Arlington Ridge, Alexandria, VA, USA",38.84611798,-77.05792801,2
3988499465,2022-06-17,Alexandria,38.8333892822,-77.1560821533,1
3985797742,2022-11-13,"Belle Haven Park, Alexandria, VA, US",38.7776333333,-77.0505916667,2
3966630085,2022-11-12,"Huntley Meadows Park, Alexandria, VA, US",38.7620283333,-77.1177528333,1
3961423438,2022-10-29,"Carter Farm Ct, Alexandria, VA, US",38.7332333333,-77.0792471667,1
3961335682,2022-10-31,"Huntley Meadows Park, Alexandria, VA, US",38.7618,-77.11815,1
3961075440,2022-10-30,"Huntley Meadows Park, Alexandria, VA, US",38.7617694866,-77.1181725339,1
3925205593,2022-10-09,"Charles Augustine Dr, Alexandria, VA, US",38.7131666667,-77.0591888333,1
3925132249,2022-10-08,"Mount Vernon Trail, Alexandria, VA, US",38.8264,-77.042625,1
3923439820,2022-09-28,"Jones Point Dr, Alexandria, VA, US",38.7947648904,-77.0396551397,1
3915457670,2022-09-05,"Cameron Run, Alexandria, VA, US",38.8057725199,-77.1081933704,3
3912442375,2022-09-12,"Huntley Meadows Park, Alexandria, VA, US",38.75785,-77.0987333333,1
3912045928,2022-09-10,"Mount Vernon Trail, Alexandria, VA, US",38.7893018149,-77.0516461103,1
3903335126,2022-08-24,"Tally Ho Ln, Alexandria, VA, US",38.7838083333,-77.070075,1
3903014525,2022-08-20,"Riverside Park, Alexandria, VA, US",38.7119833333,-77.0731416667,1
3902844942,2022-08-22,"Winter View Dr, Alexandria, VA, US",38.8046364427,-77.1455543062,3
3902824786,2022-08-20,"Riverside Park, Alexandria, VA, US",38.710655,-77.0727388333,1
3902624448,2022-08-17,"Ben Brenman Park, Alexandria, VA, US",38.8070408581,-77.11353709,1
3902522093,2022-08-24,"Windsor Rd, Alexandria, VA, US",38.78128,-77.07245,1
3902477927,2022-08-24,"Arkendale Rd, Alexandria, VA, US",38.7835383333,-77.0710916667,1
3902396457,2022-08-20,"Mount Vernon Trail, Alexandria, VA, US",38.7135783333,-77.0750666667,1
3902279218,2022-08-17,"Belle Haven Park, Alexandria, VA, US",38.7776716667,-77.0496361667,1
3902126076,2022-08-14,"Backlick Run, Alexandria, VA, US",38.8057366667,-77.107125,3
